,news,label,Unnamed: 0
44,"AP - Pakistan has arrested at least five al-Qaida-linked terrorists who were plotting suicide attacks on government leaders and the U.S. Embassy, officials announced Saturday.",1,
45,An audit of last week #39;s recall vote in Venezuela has found no evidence of fraud in the process that endorsed President Hugo Chavez as leader.,3,
46,CHICAGO McDonald #39;s President and CEO Charlie Bell is resting comfortably today after undergoing a second colorectal procedure.,3,
47,"Pakistan #39;s President Pervez Musharraf is  quot;confused quot; and not a little impatient. India is concerned, and Kashmiris are increasingly pessimistic.",1,
48,"MONTERREY, Mexico - Governments throughout Mexico and Central America are on alert as evidence grows that al-Qaida members are traveling in the region and looking for recruits to carry out attacks in Latin America - the potential last frontier for international terrorism.    The territory could be a perfect staging ground for Osama bin Laden's militants, with homegrown rebel groups, drug and people smugglers, and corrupt governments...",1,
49,"Missed tackles, penalties and other assorted errors marked Maryland's intrasquad scrimmage Saturday, a dire portent of another slow start.",2,
50,Stewart Cink used a 2-under 68 on Saturday to extend his lead at the NEC Invitational to five shots while Tiger Woods and David Toms faded.,2,
51,"Carlos Delgado homered and drove in three runs as the Toronto Blue Jays handed the Baltimore Orioles their fifth straight loss, 10-4, on Saturday.",2,
52,AP - New Orleans quarterback Aaron Brooks tweaked his strained right thigh and hobbled off the field in the second quarter of the Saints' game against the Green Bay Packers on Saturday night.,2,
53,"Reuters - Shawn Green hit two home runs,\including a grand slam, as Los Angeles defeated the Atlanta\Braves 7-4 in a battle of National League division leaders at\Dodger Stadium Saturday.",2,
54,"AP - Hee-Won Han was back atop the leaderboard at the Wendy's Championship for Children. Han, the defending champion and 2002 runner-up, shot an even-par 72 in the third round Saturday to take a two-shot lead. The South Korean had earlier rounds of 66 and 70 at the rain-soaked and muddy Tartan Fields Golf Club and was at 8-under-par 208.",2,
55,Scientists say a defect in a key protein may cause the muscle-wasting disease muscular dystrophy.,1,
56,"The chief executive of McDonald #39;s Corp. (MCD.N: Quote, Profile, Research) is recuperating after another surgery, the world #39;s largest fast-food company said on Saturday.",3,
57,"I just spent an enjoyable afternoon at the Classic Gaming Expo in San Jose--a place where Pac-Man and Donkey Kong are revered, the Atari 2600 and Intellivision are respected gaming platforms, and the men and women who created titles such as Centipede and ",4,
58,"ATHENS, Greece - Bad judging has become a tradition at the Olympics, almost its own event really. From the robbery of Munich, where officials stole a basketball gold from the United States and gave it to Russia ",2,
59,"Belarus #39; Yuliya Nesterenko won the top women #39;s athletics gold medal at the Olympics on Saturday, triumphing over a field stripped of many big names because of doping woes to win the 100 meters.",2,
60,"A freelance Italian journalist who had been working in the troubled Iraqi city of Najaf is missing and his driver has reportedly been killed, government and aid officials said on Saturday.",1,
61,Reuters - U.S. aircraft launched a fresh\assault on Shi'ite rebels in the embattled Iraqi city of Najaf\early Sunday after talks on transferring control of the mosque\at the center of a two-week siege ran into trouble.,1,
62,"Reuters - Two French journalists are missing in\Iraq and have not been heard from since Thursday, the Foreign\Ministry in Paris said Saturday.",1,
63,"AP - Florida State tight end Donnie Carter will miss the upcoming season with a torn right knee ligament, coach Bobby Bowden said Saturday.",2,
64," NAJAF, Iraq (Reuters) - U.S. aircraft launched a fresh  assault on Shi'ite rebels in the embattled Iraqi city of Najaf  early Sunday after talks on transferring control of the mosque  at the center of a two-week siege ran into trouble.",1,
65," PARIS (Reuters) - Two French journalists are missing in  Iraq and have not been heard from since Thursday, the Foreign  Ministry in Paris said Saturday.",1,
66,Venezuela #39;s electoral authorities said Saturday an audit of the vote on President Hugo Chavez #39;s rule found no proof of fraud.,3,
67,"A rugby nation lifted its head once more last night. The surprise was that it was South Africa, not Australia or New Zealand, who emerged into the light clutching the coveted Tri-Nations trophy.",2,
68,"Shawn Green hit two home runs, including a grand slam, as Los Angeles defeated the Atlanta Braves 7-4 in a battle of National League division leaders at Dodger Stadium Saturday.",2,
69,AP - An American on trial for allegedly torturing Afghan terror suspects in a private jail claimed Saturday in his first interview from custody that he was hot on the heels of Osama bin Laden and other militant leaders when he was arrested on July 5.,1,
70,"A 62-year-old Dutchman will be charged for war crimes and as an accomplice to genocide for supplying lethal chemicals to Saddam Hussein #39;s regime, prosecutors said Tuesday.",1,
71,Reuters - A journalist who commanded a boat\alongside John Kerry in Vietnam broke a 35-year silence on\Saturday and defended the Democratic presidential candidate\against Republican critics of his military service and\integrity.,1,
72,"Amid signs that the economy is cooling, President Bush is showcasing initiatives for a second term under the banner of an  quot;ownership society quot; in hopes of bolstering his economic stewardship credentials.",3,
73,"After months of heated debate, a major revision, protests and an unsuccessful legislative assault, the most sweeping changes to the nation #39;s overtime rules in more than 50 years take effect tomorrow.",3,
74,"NEW DELHI: India #39;s largest truckers #39; union began a nationwide strike yesterday, disrupting shipment of goods, to protest a government plan for a service tax on transport booking agents.",3,
75,"Bank One said Thursday that its chief economist is leaving the company, less than two months after it was purchased by JP Morgan Chase  amp; Co.",3,
76,"TORONTO, Aug. 19 -- Nortel Networks Corp. said Thursday it will slash its workforce by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",3,
77,"Workers at Volkswagen #39;s Mexico plant agreed to end their three-day-old strike and accept a pay package close to the company #39;s original offer, officials said after talks that stretched into the early hours of Saturday.",3,
78,"Web users with fast broadband connections have finally muscled aside dial-up users to form a majority of the American Internet population, according to Nielsen/Net Ratings.",4,
79,Hybrid engines manufactured by General Motors Corp. will be used to power some buses in California #39;s Yosemite National Park -- a move aimed at curbing emissions in the pristine reserve.,4,
80,Have you noticed how women are beginning to dominate these Olympics? A week ago it was Gianna Angelopoulos-Daskalaki who was a star of the show at the opening ceremony.,2,
81,"A series of explosions at a political rally in Dhaka, Bangladesh killed more than 13 people and injured up to 80, including former Prime Minister Sheikh Hasina Wajed, Agence France-Presse ",1,
82,"Suspected insurgents shot dead a policeman on Saturday in Katmandu, Nepal #39;s capital, as the military said it could escort food shipments into the city to ease a blockade inspired by antigovernment guerrillas.",1,
83,MADRID: Two bombs exploded in coastal towns in northern Spain yesterday injuring four people after a local paper received a warning in the name of the Basque separatist organisation ETA.,1,
84,"There has been more violence in the strife-torn republic of Chechnya, just days before the Russian region is due to elect a new president.",1,
85,"AP - The distributor of file-swapping giant Kazaa welcomed a U.S. court's ruling that two of its rivals are not legally liable for the songs, movies and other copyright works shared online by their users.",4,
86,"AP - Mark Brunell directed two touchdown drives, and the Washington Redskins controlled the ball for 41 minutes to beat the Miami Dolphins 17-0 Saturday night.",2,
87,"Excess supplies of large liquid crystal displays (LCDs) are forecast to peak in the third quarter of this year, but will balance out by the fourth, a US research firm said on Friday.",4,
88,Second-seed Lleyton Hewitt moved into the quarterfinals of the Washington Open with a routine 6-3 6-2 win over Colombian Alejandro Falla.,2,
89,"Kenenisa Bekele stormed to the men  #39;s 10,000 meters title as his once all-conquoring fellow Ethiopian Haile Gebrselassie ended at the Olympic Games on Friday night.",2,
90,Bayliss was reportedly involved in a heated argument in the pits at the German Grand Prix last month with team boss Livio Suppo. An uneasy relationship has developed between the former world ,2,
91,"ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West ",2,
92,tocks climbed yesterday as a drop in crude oil prices from their peak eased investors #39; worries that high fuel costs would crimp consumer spending and hurt company profits.,3,
93,"While we go about our days, an amazing 34 million or so miles away our pair of Mars Rovers are still going about their days, although theirs are 45 minutes longer and are called  quot;sols.",4,
94,"UNHERALDED Gilles Muller spoiled a star-studded finals scenario at the Washington Open today, muscling aside Andre Agassi 6-4, 7-5 to move into a match-up with Lleyton Hewitt.",2,
95,"Reuters - Extra armed police patrolled the streets\of the Bangladeshi capital and traffic was light on Sunday, a\working day, as shocked Bangladeshis woke up to the aftermath\of grenade blasts that killed at least 16 people.",1,
96,AP - Maine's lobstermen have been hauling up phenomenal numbers for almost 15 years. Their 62.3 million pounds in 2002 set a record  #151; triple the typical catch during the 1980s. That's more than  #36;200 million worth of lobster and by far the dominant share of the Northeast's most valuable fishery. But can it last?,4,
97,"The Redskins were crisp on offense and defense, holding the ball for 41 minutes and allowing 98 total yards in a complete 17-0 victory in Miami.",2,
98,Davy Arnaud scored his ninth goal of the season in the 66th minute to give the Kansas City Wizards a 2-1 win over the New England Revolution on Saturday night.,2,
99,The story for bankrupt air carrier United Airlines (OTC BB: UALAQ) is a simple one: It doesn #39;t have enough cash on hand to take care of all of its obligations.,3,
100,"Oil prices raced to fresh highs Friday, carrying US crude to over \$49 a barrel, driven by escalating violence in Iraq and unabated fuel demand growth from China and India.",3,
101,"Agassi, Hewitt advance: Andre Agassi continued to make quick work of the field at the Legg Mason tournament in Washington, DC, winning 6-4, 6-4 yesterday over Paul-Henri Mathieu to reach the tournament #39;s semifinals for the seventh consecutive year.",2,
102,The England international completed his 13.4million move from Newcastle to the Spanish giants on Friday and was officially unveiled to the media on Saturday afternoon.,2,
103,"Minneapolis, MN -- Cristian Guzman drove in three runs to lead Minnesota to an 8-1 win over Cleveland in the middle contest of a crucial three-game set at the Metrodome.",2,
104," NEW YORK (Reuters) - Shawn Green hit two home runs,  including a grand slam, as Los Angeles defeated the Atlanta  Braves 7-4 in a battle of National League division leaders at  Dodger Stadium on Saturday.",2,
105,Britain's gold medal hope in the women's marathon Paula Radcliffe insists she is focused ahead of the race.,1,
106,"Gerard Houllier was angry to read reports about his criticism of Rafael Benitez in the Sunday papers, and insists he believes the Spaniard is doing well at Anfield.",2,
107,"A welcome slide in oil prices set off a relief rally on Wall Street Friday, with stocks posting a healthy advance as crude approached but then fell back from the \$50 a barrel mark.",3,
108,"Shares in Google rose \$15.01 or 17.7 percent, to open at \$100.01 its public debut on the Nasdaq stock exchange. The jump was a surprise, given the initial \$85 price of the shares and the unusual style of the sale.",3,
109,"NEW YORK - It #39;s never a smart move to pick a public fight with Apple Computer, and it #39;s doubly unwise if that fight involves the iPod in some way.",4,
110,"A college to provide training for the Internet games industry has been opened in Beijing. China #39;s Ministry of Information Technology, the Hong Kong Vocational Training Council, and a Beijing Internet company devised the new college as a joint venture.",4,
111,"LONDON - Virgin Radio is to broadcast weekly chart rundowns using Napster online sales figures from August 29, beating BBC Radio One to the punch.",4,
112,"Healthy at last, Justine Henin-Hardenne is back at the top of her game. And she has a gold medal to prove it. In a No. 1 vs. No. 2 final that wasn #39;t really close, the top-ranked Henin-Hardenne overwhelmed ",2,
113,"Los Angeles, Ca. -- Shawn Green belted a grand slam and a solo homer as Los Angeles beat Mike Hampton and the Atlanta Braves 7-to-4 Saturday afternoon.",2,
114,"Islamabad, Aug. 21: Pakistani security forces today attacked suspected terrorist hideouts in the border regions of South Waziristan after rocket attacks on military positions from different areas of Shakai valley.",1,
115,"As of Saturday, the end of the swimming competitions, he had eight medals: Six gold and two bronze. In comparison, Canada has won two silver and a bronze.",2,
116,AKRON : American Stewart Cink carded a two-under-par 68 on Saturday to seize a five-stroke lead after the third round at the seven million dollar World Golf Championship Invitational tournament.,2,
117,"Unseeded Alicia Molik of Australia upset No. 3 Anastasia Myskina of Russia 6-3, 6-4 on Saturday to win the Olympic women #39;s singles tennis bronze medal.",2,
118,"AP - Craig Monroe hit an RBI single with one out in the 11th inning, leading the Detroit Tigers to a wild 11-10 victory over the Seattle Mariners on Saturday night.",2,
119,"AP - John Kerry raised  #36;2 million for Democrats in just a few hours Saturday, making two stops in this understated and elegant vacation destination for the Northeastern well-to-do.",1,
120,Shawn Green connects on a grand slam and a solo homer to lead the Los Angeles Dodgers past the Atlanta Braves 7-4 on Saturday.,2,
121," TORONTO -- Habibullah Abdul Ghafar is drinking black tea and resting after arriving in Canada from Kyrgyzstan, the Central Asian country where he and his family were stranded as refugees. Inside his one-bedroom apartment on the east side of Toronto, the furniture is sparse. A sofa, chair and kitchen table the Canadian government gave them line the room.",1,
122,Trauma and malnutrition leave many refugee mothers unable to breast-feed.,1,
123,AP - The Detroit Tigers optioned reliever Roberto Novoa to Double-A Erie and called up relief pitcher Craig Dingman from Triple-A Toledo.,2,
124,AFP - The United States will this week start controversial military proceedings against an Australian Taliban fighter and three bodyguards for Osama bin Laden.,1,
125,LONDON (AFP) - British athletics chiefs have named sports psychologist David Collins as the new Performance Director with the job of producing medal winners at the 2008 Beijing Olympics.,2,
126,Private insurers have told the Bush administration that they will not expand their role in Medicare if they have to serve large multistate regions.,3,
127,"Whether they #39;ve been ready for months or are frantically working overtime to catch up, employers of all stripes have until Monday to conform to new labor regulations.",3,
128,The dollar strengthened against most major currencies on Friday as dealers shrugged off soaring gold and oil prices and bought the currency largely on technical and positioning grounds.,3,
129,USA Ryder Cup wildcard Stewart Cink increased his lead to five shots after three rounds of the WGC Invitational at the Firestone Country Club in Ohio.,2,
130,"Lauryn Williams #39; magical summer began with her winning the NCAA 100-meter championship in June in Austin, Texas. It continued at the US Trials in July, where ",2,
131,Second-seed Lleyton Hewitt moved into the quarterfinals of the Washington Open tennis tournament with a routine 6-3 6-2 win over Colombian Alejandro Falla today.,2,
132,BRNO (Czech Republic): World champion Valentino Rossi is 22 points clear in the title race but the Yamaha rider will not be taking it easy at this weekends Czech Grand Prix.,2,
133,"Crude oil futures in New York, after passing US\$49 a barrel, may rise further next week on increasing concern that shipments will be curtailed just as demand accelerates, a Bloomberg survey of traders and analysts showed.",3,
134,The US dollar climbed against the euro after some traders abandoned bets that a slowdown in growth reflected in economic reports this week would push the US currency to a one-month low.,3,
135,Matthew Pinsent won his fourth successive Olympic gold medal amid tears of joy and relief yesterday as the British coxless four beat Canada in one of the closest rowing finals ever.,2,
136,The New York Jets found a winning combination Saturday night -- a near-perfect game from Chad Pennington and an opportunistic defense.,2,
137,"Any lingering doubts as to whether rookie Julius Jones possesses the necessary toughness to be the Cowboys #39; carry-the-mail back now, and in years to come, were disposed of Monday night in Seattle.",2,
138,AFP - South Africa completed one of the great u-turns in rugby union history by beating Australia 23-19 to lift the Tri-Nations trophy a second time.,1,
139, DURBAN (Reuters) - South Africa survived two late yellow  cards to win their second Tri-nations title with a rousing  23-19 triumph over Australia in Durban on Saturday.,2,
140,A US officer who fought alongside presidential candidate John Kerry in  Vietnam condemns his critics.,1,
141,"\A Cornish teacher claims one of sport's endurance crowns by winning a 3,100-mile race across the US.",1,
142,"Bengals quarterback Carson Palmer enjoyed his breakthrough game at the expense of the Super Bowl champion Patriots, racking up 179 yards on 12-of-19 passing in a 31-3 triumph on Saturday night.",2,
143,"Four years ago, about 2,300 voters cast their ballots before Election Day on state-of-the-art, push-button electronic voting machines. For 678 of them, their votes were never recorded.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",4,
144,"The percentage of online sales for movie tickets tripled in the past three years, and growth should continue at least through 2008, the most recent data from Jupiter Research show.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",4,
145,"Wireless-industry types like to talk about ""smart phones"" as if these souped-up, Internet-capable, multifunction cell phones all have the same IQ. But they don't.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",4,
146,"Prices for flash memory cards -- the little modules used by digital cameras, handheld organizers, MP3 players and cell phones to store pictures, music and other data -- are headed down -- way down. Past trends suggest that prices will drop 35 percent a year, but industry analysts think that rate will be more like 40 or 50 percent this year and next, due to more manufacturers entering the market.",4,
147,"An audit by the international observers supported the official results of the recall referendum on Venezuelan President Hugo Chavez, Cesar Gaviria, the secretary general of ",3,
148,"Salaried workers who have been getting overtime pay should take notice: The rules are about to change. Under new federal regulations that go into effect tomorrow, some white-collar workers ",3,
149,"Athens -- If there is a more obscure Olympic 100-meter champion than Yuliya Nesterenko, let her step forward and identify herself.",2,
150,"Han, the 2003 champion and 2002 runner-up, shot an even-par 72 in the third round yesterday to take a two-shot lead. Han had earlier rounds of 66 and 70 at the rain-soaked and muddy Tartan Fields Golf Club and was at 8-under-par 208.",2,
151,"After tiptoeing through a minefield of controversy, upheaval and unexpected mediocrity for more than three months, the Red Sox stats, schedule finally have their strut back.",2,
152,"Pakistan has arrested at least five al-Qaida-linked terrorists who were plotting suicide attacks on government leaders and the US Embassy, officials announced Saturday.",1,
153,"Hungary #39;s ruling Socialist Party named Peter Kiss and Ferenc Gyurcsany as candidates for prime minister on Saturday, two days after the party accepted the resignation of Prime Minister Peter Medgyessy.",1,
154,AP - Kerry Collins' one completion covered almost as many yards as Rich Gannon's seven. That's one reason why he might be a better fit in the Oakland Raiders' new offense. Collins' 89-yard scoring strike to Doug Gabriel in the third quarter was the biggest play of the game before the Dallas Cowboys rallied to beat Oakland 21-20 on Tony Romo's 1-yard keeper with six seconds left Saturday night.,2,
155,AP - Brian Ching scored a team-best 11th goal of season to lead the San Jose Earthquakes past the Dallas Burn 3-0 on Saturday night.,2,
156," When it comes to your money (or anything else, for that matter), I believe you should trust your gut.",3,
157,"Tax law has long allowed a taxpayer to deduct the cost of work-related education if it maintains or improves skills needed in his or her present job or business, or if it is required by an  employer.",3,
158,"There's something special about a night at the movies -- it's all about friends, American pop culture and escape. And it's accessible to just about everyone.",3,
159,"Hundreds of Maoist rebels swoop on the Nepalese town of Khalanga, killing at least one soldier.",1,
160,AP - Bills running back Travis Henry bruised his ribs in Saturday night's preseason game against Tennessee.,2,
161,"The referendum on Aug. 15, 2004 rejected the petition to revoke the mandate of President Hugo Chavez. The observation of The Carter Center mission confirms the results announced by the National Election Council ",3,
162,"Going store-to-store hunting for bargains holds no appeal for Wang Qin, a busy securities industry employee who says he would rather spend his time and energy on work.",4,
163,"At 8:41 pm Thursday, Greek time, Michael Phelps was on the medal stand, the champion of the 200-meter individual medley. He was wearing his official ",2,
164,"The tattoo on Maurice Greene #39;s right shoulder succinctly sums up where he feels he ranks in the world of sprinting.  quot;Greatest of all time, quot; he will shout after a victory while thumping it.",2,
165,"From Seoul 1988 to Athens 2004, China has pocketed every gold for men #39;s doubles in the Olympic table tennis tournament and, more amazingly, each time the gold has gone to a different pair of players.",2,
166,But Desi Relaford #39;s ninth-inning drive with two runners on and two out settled into the glove of right fielder Gary Matthews Jr.,2,
167,"Police and paramilitary are patrolling the streets of the Bangladeshi capital after several grenades exploded near former Prime Minister Sheikh Hasina as she spoke at a party rally Saturday, killing at least 18 people and ",1,
168,"Ruud van Nistelrooy will not travel to Turkey for United #39;s Champions League group D finale against Fenerbahce. The Dutch striker missed out on Saturday #39;s 3-0 win over Southampton at Old Trafford, and Sir Alex ",2,
169,"The hills of Mars yielded more tantalizing clues about how water shaped the Red Planet in tests by NASA (news - web sites) #39;s robotic geologist, Spirit, while its twin ",4,
170,Long-distance runner Paula Radcliffe is tipped to add to Britain #39;s Olympic gold medal tally when she competes in the women #39;s marathon today.,2,
171,Luxembourg #39;s Gilles Muller is ranked so low he has to qualify next week just to see if he can even get into the US Open in less than two weeks.,2,
172,"GREEN BAY, Wisconsin (Ticker) -- Darren Sharper returned one his team #39;s three interceptions 90 yards for a touchdown, leading the Green Bay Packers to a 19-14 preseason victory over the New Orleans Saints .",2,
173,"jm writes  quot;The Classic Gaming Expo 2004 kicks off this weekend, with over 60 industry guests. This year the CGE is being held at San Jose #39;s McEnery Convention Center, August 21st  amp; 22nd.",4,
174,"WHILE India was celebrating its Independence Day, another important event was taking place on the other side of the world, in Venezuela.",3,
175,Britain #39;s Olympic success and gold medal tally gives the papers an excuse to wax lyrical on Sunday. Matthew Pinsent #39;s fourth rowing gold and his team #39;s success in the coxless four is the cause of many  quot;oar-some quot; puns.,2,
176,SAN DIEGO (Ticker) -- Josh Beckett helped himself to his first win in over three months. Beckett doubled in the sixth inning to tie the game and scored the go-ahead run on Juan Pierre  #39;s home run one batter ,2,
177,By STEVE FORD Courier  amp; Press staff writer 464-7511 or sfordevansville.net. Jeff Overton #39;s run in the 104th US Amateur at Winged Foot Golf Club near New York City ended one day too soon.,2,
178,"San Francisco, CA (Sports Network) - Dustan Mohr dropped a fly ball with two outs and the bases loaded in the top of the 12th inning to allow two runs to score, and the New York Mets went on to defeat the San Francisco Giants 11-9 in the see-saw middle ",2,
179,"AP - Drew Brees continued his strong exhibition season, passing the San Diego Chargers to a big halftime lead and a 38-13 victory over the Arizona Cardinals on Saturday night.",2,
180,"AP - In a newspaper opinion piece published Sunday, New Jersey's embattled governor says his decision not to leave office immediately because of a sex scandal was ""difficult"" to make but one he will not change.",1,
181,"AP - There are traces of Johnny Unitas, Dan Marino, Joe Montana and Steve Young in Peyton Manning, not to mention the DNA of dear old dad, Archie. They're all there in his arm, his accuracy, his eyes, his brains.",2,
182,"Dude, where #39;s my boom? That #39;s a question a lot of Hous- tonians are asking as oil crowds the \$50-a-barrel mark. Where #39;s the frenetic hiring as oil companies staff up for the good times?",3,
183,"Greeters direct new arrivals at the elevators. Wireless telephone systems and Internet access are available. And every guest room is private, cheerful and has a fold-out chairbed.",3,
184,Swimmer Michael Phelps might have turned in his most wonderfully uplifting performance of the Olympics last night. And he didn #39;t even get wet.,2,
185,"One of the feel-good stories of the Olympics turned sour Saturday, becoming the latest in a long line of scoring controversies that seem to show up in every Games.",2,
186,DEFENDING champion Inge de Bruijn of Holland won the women #39;s 50m swim final in 24.58 seconds last night. It was the 30-year-old #39;s first gold in Athens and the fourth of her career.,2,
